#"+EI TIC Scan MBPR053_02_GS1.d "
#Point,X(Minutes),Y(Counts)
306,1.193,0.764145454088652
307,1.197,0.76583301102005
308,1.201,0.763729240495706
309,1.204,0.761731415249567
310,1.208,0.766544357887993
311,1.211,0.772189727712311
312,1.215,0.772598373785385
313,1.218,0.766862193722606
314,1.222,0.763169244025197
315,1.226,0.764796260797621
316,1.229,0.769821093992456
317,1.233,0.777403748903939
318,1.236,0.781717235230831
319,1.240,0.776223215803948
320,1.244,0.766173549414278
321,1.247,0.763751943055321
322,1.251,0.772114052513593
323,1.254,0.783412359682101
324,1.258,0.784275056947479
325,1.262,0.776389701241126
326,1.265,0.779772382623794
327,1.269,0.788785298791036
328,1.272,0.780945348203913
329,1.276,0.763948698571986
330,1.279,0.758409274025873
331,1.283,0.762760597952123
332,1.287,0.76826975241875
333,1.290,0.768216779779648
334,1.294,0.764243831846984
335,1.297,0.759536834486762
336,1.301,0.755601724153457
337,1.305,0.756328206061145
338,1.308,0.762624382594432
339,1.312,0.768322725057852
340,1.315,0.769056774485411
341,1.319,0.764591937761084
342,1.323,0.756782257253449
343,1.326,0.755253618239358
344,1.330,0.76657462796748
345,1.333,0.774096742719989
346,1.337,0.765643823023256
347,1.340,0.757781169876519
348,1.344,0.75983196776176
349,1.348,0.761406011895082
350,1.351,0.761421146934825
351,1.355,0.762715192832893
352,1.358,0.760535747109832
353,1.362,0.755563886554099
354,1.366,0.752703364042581
355,1.369,0.756366043660503
356,1.373,0.763010326107891
357,1.376,0.768625425852721
358,1.380,0.764251399366856
359,1.384,0.754118490258597
360,1.387,0.747670963327874
361,1.391,0.752075259893227
362,1.394,0.758931432897023
363,1.398,0.758606029542538
364,1.401,0.755957397587429
365,1.405,0.755215780639999
366,1.409,0.755662264312431
367,1.412,0.758295761227797
368,1.416,0.759400619129071
369,1.419,0.756403881259862
370,1.423,0.753952004821418
371,1.427,0.756449286379092
372,1.430,0.759279538811123
373,1.434,0.762132493802769
374,1.437,0.770623251098861
375,1.441,0.779507519428283
376,1.445,0.779295628871874
377,1.448,0.769692446154637
378,1.452,0.75861359706241
379,1.455,0.75495848496436
380,1.459,0.75965791480471
381,1.462,0.767134624437989
382,1.466,0.773461071050763
383,1.470,0.772984317298843
384,1.473,0.767301109875167
385,1.477,0.761474119573928
386,1.480,0.755639561752816
387,1.484,0.754504433772055
388,1.488,0.759953048079708
389,1.491,0.762510869796356
390,1.495,0.758174680909849
391,1.498,0.752847146920144
392,1.502,0.750796349034903
393,1.506,0.753777951864368
394,1.509,0.761466552054056
395,1.513,0.766309764771969
396,1.516,0.765810308460434
397,1.520,0.763933563532243
398,1.523,0.767883808905291
399,1.527,0.773059992497561
400,1.531,0.766324899811713
401,1.534,0.751515263422718
402,1.538,0.753286063072705
403,1.541,0.767149759477732
404,1.545,0.767376785073884
405,1.549,0.755639561752816
406,1.552,0.752559581165018
407,1.556,0.757364956283573
408,1.559,0.756010370226532
409,1.563,0.750016894488114
410,1.566,0.753066604996425
411,1.570,0.764213561767497
412,1.574,0.768072996902084
413,1.577,0.757001715329729
414,1.581,0.747814746205437
415,1.584,0.749948786809268
416,1.588,0.752128232532329
417,1.592,0.750660133677212
418,1.595,0.755230915679742
419,1.599,0.766741113404658
420,1.602,0.776442673880228
421,1.606,0.777789692417398
422,1.610,0.775965920128309
423,1.613,0.779878327901998
424,1.617,0.782572364976338
425,1.620,0.77349134113025
426,1.624,0.761633037491234
427,1.627,0.755957397587429
428,1.631,0.75274120164194
429,1.635,0.754390920973979
430,1.638,0.764198426727754
431,1.642,0.773952959842426
432,1.645,0.773211342894996
433,1.649,0.764395182244419
434,1.653,0.762858975710456
435,1.656,0.772742156662948
436,1.660,0.784555055182733
437,1.663,0.794695531810864
438,1.667,0.800991708344152
439,1.671,0.797260921047384
440,1.674,0.785985316438492
441,1.678,0.775610246694337
442,1.681,0.763585457618143
443,1.685,0.751068779750286
444,1.688,0.746725023343907
445,1.692,0.74982770649132
446,1.696,0.758704407300871
447,1.699,0.770101092227711
448,1.703,0.774043770080887
449,1.706,0.768375697696954
450,1.710,0.764826530877108
451,1.714,0.769177854803358
452,1.717,0.777759422337911
453,1.721,0.782436149618646
454,1.724,0.784744243179527
455,1.728,0.785561535325675
456,1.732,0.774853494707163
457,1.735,0.755639561752816
458,1.739,0.744712063058024
459,1.742,0.742653697652911
460,1.746,0.742464509656118
461,1.749,0.749683923613757
