Injection Data File Name,Signal Name,RT,Area,Height,Compound Name
MBPR053_02_LQ1.D,FID1A,14.310,2.0832,0.9956,
MBPR053_02_LQ1.D,FID1A,14.403,3.5773,1.0220,
MBPR053_02_LQ1.D,FID1A,14.556,3.1301,0.8434,
MBPR053_02_LQ1.D,FID1A,14.635,15.4947,8.6361,
MBPR053_02_LQ1.D,FID1A,14.678,103.9267,59.8846,
MBPR053_02_LQ1.D,FID1A,14.762,4.4840,2.0654,
MBPR053_02_LQ1.D,FID1A,14.800,3.4311,1.7783,
MBPR053_02_LQ1.D,FID1A,14.849,1.5657,0.8452,
MBPR053_02_LQ1.D,FID1A,14.888,2.7501,1.1670,
MBPR053_02_LQ1.D,FID1A,14.944,3.1342,1.4696,
MBPR053_02_LQ1.D,FID1A,15.009,3.1576,0.9279,
MBPR053_02_LQ1.D,FID1A,15.084,2.2021,0.8893,
MBPR053_02_LQ1.D,FID1A,15.143,4.7187,1.0716,
MBPR053_02_LQ1.D,FID1A,15.237,0.7953,0.4265,
MBPR053_02_LQ1.D,FID1A,15.278,1.4033,0.6300,
MBPR053_02_LQ1.D,FID1A,15.333,2.0038,0.9259,
MBPR053_02_LQ1.D,FID1A,15.369,2.4714,1.0660,
MBPR053_02_LQ1.D,FID1A,15.439,2.1681,0.7805,
MBPR053_02_LQ1.D,FID1A,15.472,1.8991,0.9017,
MBPR053_02_LQ1.D,FID1A,15.531,2.8703,0.8931,
MBPR053_02_LQ1.D,FID1A,15.571,1.6976,1.0338,
MBPR053_02_LQ1.D,FID1A,15.599,2.9193,1.4356,
MBPR053_02_LQ1.D,FID1A,15.641,0.8666,0.4958,
MBPR053_02_LQ1.D,FID1A,15.700,1.6021,0.9044,
MBPR053_02_LQ1.D,FID1A,15.729,2.2770,1.1467,
MBPR053_02_LQ1.D,FID1A,15.775,1.6916,0.8771,
MBPR053_02_LQ1.D,FID1A,15.818,2.6035,1.0067,
MBPR053_02_LQ1.D,FID1A,15.893,3.0326,1.0038,
MBPR053_02_LQ1.D,FID1A,16.005,7.6913,2.9380,
MBPR053_02_LQ1.D,FID1A,16.053,1.1497,0.7399,
MBPR053_02_LQ1.D,FID1A,16.102,3.3348,1.1397,
MBPR053_02_LQ1.D,FID1A,16.187,5.0108,1.3325,
MBPR053_02_LQ1.D,FID1A,16.256,3.8622,1.4439,
MBPR053_02_LQ1.D,FID1A,16.330,4.4215,1.1324,
MBPR053_02_LQ1.D,FID1A,16.397,2.0366,0.8364,
MBPR053_02_LQ1.D,FID1A,16.438,1.0831,0.6050,
MBPR053_02_LQ1.D,FID1A,16.497,1.8067,0.7484,
MBPR053_02_LQ1.D,FID1A,16.552,6.5594,2.0875,
MBPR053_02_LQ1.D,FID1A,16.671,3.1011,0.9698,
MBPR053_02_LQ1.D,FID1A,16.712,0.8961,0.4308,
MBPR053_02_LQ1.D,FID1A,16.791,4.0692,1.6776,
MBPR053_02_LQ1.D,FID1A,16.873,3.5497,0.9527,
MBPR053_02_LQ1.D,FID1A,16.917,1.2834,0.7645,
MBPR053_02_LQ1.D,FID1A,16.957,3.9057,1.1962,
MBPR053_02_LQ1.D,FID1A,17.079,4.0288,1.1598,
MBPR053_02_LQ1.D,FID1A,17.138,2.5244,0.7781,
MBPR053_02_LQ1.D,FID1A,17.195,0.7361,0.4262,
MBPR053_02_LQ1.D,FID1A,17.237,0.8236,0.5050,
MBPR053_02_LQ1.D,FID1A,17.303,4.1147,0.9082,
MBPR053_02_LQ1.D,FID1A,17.432,3.3602,0.7953,
MBPR053_02_LQ1.D,FID1A,17.483,0.7326,0.4129,
MBPR053_02_LQ1.D,FID1A,17.553,3.2437,1.1962,
MBPR053_02_LQ1.D,FID1A,17.584,3.2928,1.2997,
MBPR053_02_LQ1.D,FID1A,17.638,2.7006,0.8996,
MBPR053_02_LQ1.D,FID1A,17.724,2.8881,0.9154,
MBPR053_02_LQ1.D,FID1A,17.776,1.7956,0.6455,
MBPR053_02_LQ1.D,FID1A,17.835,1.2116,0.5556,
MBPR053_02_LQ1.D,FID1A,17.905,286.7252,181.8545,
MBPR053_02_LQ1.D,FID1A,18.015,1.4785,0.6414,
MBPR053_02_LQ1.D,FID1A,18.060,1.8438,0.7584,
MBPR053_02_LQ1.D,FID1A,18.097,0.7894,0.5245,
MBPR053_02_LQ1.D,FID1A,18.136,1.8487,0.7098,
MBPR053_02_LQ1.D,FID1A,18.179,1.9776,0.7708,
MBPR053_02_LQ1.D,FID1A,18.235,2.5137,1.2184,
MBPR053_02_LQ1.D,FID1A,18.268,1.8294,0.9306,
MBPR053_02_LQ1.D,FID1A,18.331,2.0215,0.8923,
MBPR053_02_LQ1.D,FID1A,18.372,4.7491,1.3845,
MBPR053_02_LQ1.D,FID1A,18.463,1.0928,0.4026,
MBPR053_02_LQ1.D,FID1A,18.524,2.5678,0.7417,
MBPR053_02_LQ1.D,FID1A,18.618,1.5752,0.5423,
MBPR053_02_LQ1.D,FID1A,18.678,2.7213,1.0191,
MBPR053_02_LQ1.D,FID1A,18.795,5.2662,1.9248,
MBPR053_02_LQ1.D,FID1A,18.870,3.1814,1.0335,
MBPR053_02_LQ1.D,FID1A,18.977,2.8520,0.6189,
MBPR053_02_LQ1.D,FID1A,19.036,0.9088,0.3945,
MBPR053_02_LQ1.D,FID1A,19.120,1.5508,0.4635,
MBPR053_02_LQ1.D,FID1A,19.157,0.4664,0.2925,
MBPR053_02_LQ1.D,FID1A,19.220,3.8852,0.9174,
MBPR053_02_LQ1.D,FID1A,19.305,2.8298,0.9057,
MBPR053_02_LQ1.D,FID1A,19.447,4.7162,1.1105,
MBPR053_02_LQ1.D,FID1A,19.533,2.1970,0.8037,
MBPR053_02_LQ1.D,FID1A,19.597,1.7609,0.5225,
MBPR053_02_LQ1.D,FID1A,19.709,4.2583,0.8849,
