,Component RT,Compound Name,Formula,Match Factor,Previous Best Compound Name,Previous Best Formula,Previous Best Match Factor,Previous Worst Compound Name,Previous Worst Formula,Previous Worst Match Factor
27,10.1874,"Heptane, 2,5-dimethyl-",C9H20,90.5805303612471,"Heptane, 2,5-dimethyl-",C9H20,90.5805303612471,"Heptane, 3,5-dimethyl-",C9H20,84.9721377564917
28,10.1405,"Cyclohexane, propyl-",C9H18,82.6963236751784,"Cyclohexane, propyl-",C9H18,82.6963236751784,"Cyclohexane, propyl-",C9H18,81.2341956320729
29,10.0657,"3,5-Dimethyl-3-heptene",C9H18,66.0362583519798,4-Octen-3-one,C8H14O,76.0742892974313,1-Ethyl-4-methylcyclohexane,C9H18,60.0983008186819
30,10.0292,"Octane, 2-methyl-",C9H20,83.8124210132175,"Octane, 2-methyl-",C9H20,83.8124210132175,"Octane, 2-methyl-",C9H20,63.1222257713882
31,10.0122,"Cyclohexene, 1,4-dimethyl-",C8H14,78.6078873442365,"Cyclohexene, 1,4-dimethyl-",C8H14,78.6078873442365,"Cyclohexene, 3,5-dimethyl-",C8H14,75.1620304360083
32,9.9449,"Cyclohexene, 3,5-dimethyl-",C8H14,91.658738863466,"Cyclohexene, 3,5-dimethyl-",C8H14,91.658738863466,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,83.9041731221276
33,9.876,"Hexane, 2,3,5-trimethyl-",C9H20,92.9247076969552,"Hexane, 2,3,5-trimethyl-",C9H20,92.9247076969552,"Undecane, 2,4-dimethyl-",C13H28,81.6195361653731
34,9.6936,"2-Undecene, 4-methyl-",C12H24,83.1270036014059,"2-Undecene, 4-methyl-",C12H24,83.1270036014059,"3-Heptene, 2,6-dimethyl-",C9H18,82.1017162373806
35,9.6824,"6,6-Dimethylhepta-2,4-diene",C9H16,83.7652620353593,"6,6-Dimethylhepta-2,4-diene",C9H16,83.7652620353593,"1,2,4,4-Tetramethylcyclopentene",C9H16,78.6515867382194
36,9.5801,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,87.3485248359497,"1,4-Pentadiene, 2,3,3-trimethyl-",C8H14,87.3485248359497,"Ethanone, 1-(2-furanyl)-",C6H6O2,67.0518869841526
37,9.4898,No Match,,,"Sulfone, 2-hydroxybutyl t-butyl",C8H18O3S,61.0218874218412,"(1,2-Dimethyl-1H-imidazol-5-yl)methanol",C6H10N2O,55.9870501090323
38,9.4391,"Cyclohexane, 1,4-dimethyl-, cis-",C8H16,72.70289590891,"Sulfurous acid, di(cyclohexylmethyl) ester",C14H26O3S,74.5909079569988,"1-Methyl-3-piperidinamine, N-(2-methylpropionyl)-",C10H20N2O,60.289463914907
39,9.4149,"4-Hexen-3-one, 5-methyl-",C7H12O,89.2511902138051,"4-Hexen-3-one, 5-methyl-",C7H12O,89.2511902138051,"2H-Pyran-2-carboxaldehyde, 3,4-dihydro-",C6H8O2,72.9908457026019
40,9.4023,3-Ethyl-4-methyl-2-pentene,C8H16,93.7106940175302,3-Ethyl-4-methyl-2-pentene,C8H16,93.7106940175302,"Cyclopentane, bromo-",C5H9Br,80.8104306070591
41,9.3218,"4-Octene, (E)-",C8H16,90.081858264211,"1,2-Cyclohexanedione",C6H8O2,91.8988410843961,"2-Heptene, 3-methyl-",C8H16,72.9848698001213
42,9.2534,"Cyclopentene, 1,2,3-trimethyl-",C8H14,85.264514940783,"Cyclopentene, 1,2,3-trimethyl-",C8H14,85.264514940783,"Ethanone, 1-(2-furanyl)-",C6H6O2,71.8299382694137
43,9.1758,"3-Hexene, 2,3-dimethyl-",C8H16,92.0041073357106,"3-Hexene, 2,3-dimethyl-",C8H16,92.0041073357106,4-Methyl-2-heptene,C8H16,85.8287335958647
44,9.1285,3-Ethyl-3-hexene,C8H16,79.1783404630128,"4-Hexen-3-one, 5-methyl-",C7H12O,84.8225905324062,3-Ethyl-3-hexene,C8H16,78.3400513958844
45,9.0636,No Match,,,N-Methyl-2-isopropoxycarbonylazetidine,C8H15NO2,73.6668462503641,N-Methyl-2-isopropoxycarbonylazetidine,C8H15NO2,62.3545212356767
46,9.0041,3-Ethyl-2-hexene,C8H16,92.4926502523128,3-Ethyl-2-hexene,C8H16,92.4926502523128,2-Methyl-2-heptene,C8H16,87.8931423581752
47,8.8746,"2-Hexene, 5,5-dimethyl-, (Z)-",C8H16,81.7158508953744,"2-Hexene, 5,5-dimethyl-, (Z)-",C8H16,81.7158508953744,"2-Pentene, 2,4,4-trimethyl-",C8H16,70.2997932878274
