#"+EI TIC Scan MBPR053_02_LQ1.d "
#Point,X(Minutes),Y(Counts)
314,2.132,0.124477257571859
315,2.139,0.124417590589992
316,2.145,0.123880587753185
317,2.152,0.123964121527799
318,2.158,0.12605246589316
319,2.165,0.127150338359521
320,2.171,0.128809080455436
321,2.178,0.127377072890617
322,2.184,0.123701586807583
323,2.191,0.122317312828258
324,2.197,0.123116850385282
325,2.203,0.124214722851643
326,2.210,0.125455796074485
327,2.216,0.125909265136678
328,2.223,0.12376125378945
329,2.229,0.124978460219546
330,2.236,0.126625268919087
331,2.242,0.129596684616086
332,2.249,0.132520366727591
333,2.255,0.149513523163438
334,2.262,0.197414176206621
335,2.268,0.274360716022876
336,2.275,0.370269422676604
337,2.281,0.465963328195608
338,2.288,0.531024205223868
339,2.294,0.556764541201483
340,2.301,0.567421064163008
341,2.307,0.576705246541582
342,2.313,0.579628928653087
343,2.320,0.578483322601232
344,2.326,0.576931981072679
345,2.333,0.570487947030995
346,2.339,0.557146409885435
347,2.346,0.544425409351296
348,2.352,0.529842798982893
349,2.359,0.518553806013573
350,2.365,0.50961569212983
351,2.372,0.515606257109321
352,2.378,0.548470830721908
353,2.385,0.610309690729326
354,2.391,0.653246050881138
355,2.398,0.52986666577564
356,2.404,0.259300769799533
357,2.410,0.0555141599294689
358,2.417,0
359,2.423,0
360,2.430,0
361,2.436,0
362,2.443,0
363,2.449,0
364,2.456,0
365,2.462,0
366,2.469,0
367,2.475,0
368,2.482,0
369,2.488,0
370,2.495,0
371,2.501,0
372,2.508,0
373,2.514,0
374,2.520,0
375,2.527,0
376,2.533,0
377,2.540,0
378,2.546,0
379,2.553,0
380,2.559,0
381,2.566,0
382,2.572,0
383,2.579,0
384,2.585,0
385,2.592,0
386,2.598,0
387,2.605,0
388,2.611,0
389,2.617,0
390,2.624,0
391,2.630,0
392,2.637,0
393,2.643,0
394,2.650,0
395,2.656,0
396,2.663,0
397,2.669,0
398,2.676,0
399,2.682,0
400,2.689,0
401,2.695,0
402,2.702,0
403,2.708,0
404,2.715,0
405,2.721,0
406,2.727,0
407,2.734,0
408,2.740,0
409,2.747,0
410,2.753,0
411,2.760,0
412,2.766,0
413,2.773,0
414,2.779,0
415,2.786,0
416,2.792,0
417,2.799,0
418,2.805,0
419,2.812,0
420,2.818,0
421,2.824,0
422,2.831,0
423,2.837,0
424,2.844,0
425,2.850,0
426,2.857,0
427,2.863,0
428,2.870,0
429,2.876,0
430,2.883,0
431,2.889,0
432,2.896,0
433,2.902,0
434,2.909,0
435,2.915,0
436,2.922,0
437,2.928,0
438,2.934,0
439,2.941,0
440,2.947,0
441,2.954,0
442,2.960,0
443,2.967,0
444,2.973,0
445,2.980,0
446,2.986,0
447,2.993,0
448,2.999,0
449,3.006,0
450,3.012,0
451,3.019,0
